study,r,n.sites,indiv.per.site,n.indiv,n.reg,by.mass.or.area,within.or.among,pft,biome,grad.min,grad.max,lat.mean,species,details
van de Weg,0.7122805,8,see paper,128,8,a,among,tree angio,trop,220,3600,13,tropical trees,"4 trees per 4 to 5 species per site so used n=16, r simulated from mean and SE given in paper, QR April 10"
Li 2006,-0.8478068,8,10,80,8,m,within,tree angio,temp,2000,3600,31.1,Quercus aquifolioides,"r simulated from mean and SE given in paper, QR April 10"
Li 2006,0.530597,8,10,80,8,a,within,tree angio,temp,2000,3600,31.1,Quercus aquifolioides,"r simulated from mean and SE given in paper, QR April 10"
Birmann,-0.9140398,4,see paper,55,4,m,within,tree conifer,temp,1850,2160,46.5,Pinus cembra,"summer, r simulated from mean and SE given in paper, QR April 9"
Birmann,-0.3049552,4,see paper,90,4,m,within,tree conifer,temp,1700,2020,46.5,Picea abies,"r simulated from mean and SE given in paper, QR April 9"
Birmann,-0.9691644,4,see paper,55,4,a,within,tree conifer,temp,1850,2160,46.5,Pinus cembra,"summer, r simulated from mean and SE given in paper, QR April 9"
Birmann,-0.7884693,4,see paper,90,4,a,within,tree conifer,temp,1700,2020,46.5,Picea abies,"r simulated from mean and SE given in paper, QR April 9"
DeLillis,0.7311741,10,see paper,20,10,m,among,many,temp,3000,3800,29.4,Nepalese trees,"2 to 4 indiv per species where a site represents a species at an elevation, so used n=2, r simulated from mean and SE given in table, QR May 11"
Hikosaka,-0.3139617,4,see paper,112,4,m,among,tree angio,trop,600,3700,6.1,Malaysian trees,"r simulated from mean and SE given in table, QR May 11"
Hikosaka,0.9604952,4,see paper,112,4,a,among,tree angio,trop,600,3700,6.1,Malaysian trees,"r simulated from mean and SE given in table, QR May 11"
Koehler,-0.9713378,4,5,20,4,m,within,tree conifer,temp,1400,2100,28.3,Pinus canariensis,"r simulated from mean and SE extracted from graph, QR May 12"
Koehler,-0.1370127,6,5,30,6,m,within,shrub,temp,1400,3100,28.3,Spartocytisus supranubius,"r simulated from mean and SE extracted from graph, QR May 12"
Koehler,-0.7640462,5,5,25,5,m,within,forb,temp,1400,2400,28.3,Erysimum scoparium,"r simulated from mean and SE extracted from graph, QR May 12"
Li 2007,0.2940822,5,10,50,5,m,within,shrub,temp,2000,3600,31.1,Hippophae rhamnoides,"male, r simulated from mean and SE extracted from graph, QR May 12"
Li 2007,0.1171917,5,10,50,5,m,within,shrub,temp,2000,3600,31.1,Hippophae rhamnoides,"female, r simulated from mean and SE extracted from graph, QR May 12"
Li 2007,0.4240442,5,10,50,5,a,within,shrub,temp,2000,3600,31.1,Hippophae rhamnoides,"male, r simulated from mean and SE extracted from graph, QR May 12"
Li 2007,0.2521532,5,10,50,5,a,within,shrub,temp,2000,3600,31.1,Hippophae rhamnoides,"female, r simulated from mean and SE extracted from graph, QR May 12"
Takahashi 2008,0.7602147,5,5,25,5,m,within,tree angio,temp,1600,2400,36.1,Betula ermanii,"r simulated from mean and SE extracted from graph, QR May 12"
Takahashi 2008,-0.1880204,4,10,40,4,m,within,tree angio,temp,1600,2400,36.1,Sorbus commixta,"r simulated from mean and SE extracted from graph, QR May 12"
Luo 2005,-0.173205081,6,see paper,18,18,m,among,many,temp,1900,3700,29.6,Tibetan trees,individual is a species mean at a site
Luo 2005,0.4,6,see paper,18,18,a,among,many,temp,1900,3700,29.6,Tibetan trees,individual is a species mean at a site
Ellison 2005,0.7916031,5,see table,56,56,m,within,forb,temp,411,1241,42.2,Darlingtonia californica,"r calculated from raw data provided by author, QR May 21"
Steinke 2008,0.5829522,8,5,40,8,m,within,tree angio,temp,800,1700,41.4,Nothofagus antarctica,did regression from table of site means 1 Oct 2012
Zhang 2011,0.8007462,4,5,20,4,a,within,tree angio,temp,2650,3920,28,Quercus guyavifolia,did regression from table of site means 1 Oct 2012
Peng 2012,0.7575565,5,many,many,5,m,within,tree conifer,temp,2579,3500,33,Abies faxoniana,regression from site means in figure 1 Oct 2012
Peng 2012,0.8867813,5,many,many,5,a,within,tree conifer,temp,2579,3500,33,Abies faxoniana,regression from site means in figure 1 Oct 2012
Fernandez-Calvo,0.7058481,9,4,36,9,m,within,shrub,temp,750,1250,43.1,Vaccinium myrtillus,regression from data extracted from graph
